Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Blue Rhino,White Rhino x Blueberry,Indica-dominant,16%,1.90%,"['Sweet', 'Skunk', 'Berry']","['Euphoric', 'Strong', 'Anxious', 'Happy', 'Relaxed']"
Blue Spider,Blueberry x White Widow,Sativa-dominant,18%,Unknown,"['Tropical', 'Citrus', 'Berry', 'Pine']","['Calming', 'Uplifting', 'Relaxed', 'Happy', 'Cerebral']"
Blue Sunset Sherbert,Sunset Sherbet x Purple Punch,Indica-dominant (65%),28%,Low,"['Fruity', 'Candy', 'Citrus']","['Strong', 'Cerebral', 'Relaxed']"
Blue Widow,White Widow x Blueberry,Sativa-dominant (60%),17%,Medium,"['Sour', 'Berry', 'Spicy', 'Pungent', 'Sweet']","['Couch-lock', 'Calming', 'Relaxed', 'Cerebral']"
Blue Zkittlez,Blue Diamond x Zkittlez,Indica-dominant (70%),20%,1%,"['Berry', 'Diesel', 'Candy', 'Citrus', 'Earthy']","['Relaxed', 'Body-buzz', 'Tingly']"
Blueberry Bud,Blueberry,Indica-dominant,Medium,Unknown,"['Fruity', 'Sweet', 'Blueberry']","['Body-buzz', 'Relaxed', 'Uplifting', 'Long-lasting', 'Euphoric']"
Blueberry Cheese,White Cheese x Blueberry,Indica-dominant,18%,Unknown,"['Fruity', 'Berry', 'Musky', 'Cheese', 'Sweet']","['Sociable', 'Happy', 'Talkative', 'Relaxed']"
Blueberry Cheesecake,Cheese x Blueberry,Indica-dominant,Medium,Unknown,"['Fruity', 'Cheese', 'Pungent', 'Creamy']","['Euphoric', 'Body-buzz', 'Relaxed', 'Energetic', 'Balanced']"
Blueberry Cookies,Blueberry x Girl Scout Cookies,Indica-dominant (60%),18%,0.10%,"['Fresh', 'Fruity', 'Blueberry', 'Sweet']","['Relaxed', 'Balanced', 'Uplifting', 'Body-buzz']"
Blueberry Haze,Haze x Blueberry,Indica/sativa,Medium,Unknown,"['Sweet', 'Fruity', 'Berry']","['Happy', 'Cerebral', 'Euphoric', 'Uplifting', 'Energetic']"
Blueberry Headband,707 Headband x Blueberry,Indica-dominant (70%),19-23%,0.10%,"['Sweet', 'Anise', 'Spicy']","['Long-lasting', 'Body-buzz', 'Balanced', 'Cerebral']"
Blueberry Muffin,Purple Panty Dropper x Blueberry,Indica-dominant,High,Unknown,"['Fresh', 'Blueberry', 'Sweet', 'Vanilla']","['Energetic', 'Body-buzz', 'Strong', 'Balanced']"
Blueberry OG,Blueberry x OG Kush,Indica-dominant (70%),High,Unknown,"['Musky', 'Blueberry', 'Citrus']","['Euphoric', 'Giggly', 'Creative']"
Blueberry Punch,Romulan x Blueberry,Indica-dominant,High,Unknown,"['Sweet', 'Fresh', 'Earthy']","['Dreamy', 'Long-lasting', 'Sedative', 'Body-buzz']"
Blueberry Skunk,Blueberry x Skunk 1,Indica-dominant (75%),Medium,Unknown,"['Sweet', 'Skunk', 'Berry']","['Body-buzz', 'Narcotic', 'Relaxed']"
Bona Dea CBD,Afghani x Black Domina x Northern Lights,Indica-dominant (85%),9%,8%,"['Pine', 'Earthy', 'Spicy']","['Attentive', 'Body-buzz', 'Relaxed', 'Calming', 'Smooth']"
Brainkiller Haze,Haze,Sativa (90-100%),22%,0.15%,"['Spicy', 'Citrus', 'Lemon']","['Uplifting', 'Cerebral', 'Energetic', 'Motivated', 'Strong', 'Creative']"
Brian Berry Cough,Cinderella 99 x Romulan x Strawberry Cough,Indica/sativa (50/50),High,Unknown,"['Berry', 'Strawberry', 'Sweet', 'Grape']","['Relaxed', 'Happy', 'Body-buzz', 'Euphoric', 'Uplifting']"
Brooklyn Mango,Ed Rosenthal Super Bud x NYC Diesel,Indica/sativa,Medium,Unknown,"['Lemon', 'Mango', 'Fruity', 'Pineapple']","['Sociable', 'Alert', 'Uplifting', 'Relaxed']"
Brotherhood OG,Happy Brother x Biker Kush,Indica-dominant,Medium,Unknown,"['Earthy', 'Fresh', 'Pine']","['Body-buzz', 'Calming', 'Meditative', 'Relaxed']"
Bruce Banner 3,OG Kush x Strawberry Diesel,Sativa-dominant (65%),20-27%,Low,"['Citrus', 'Fruity', 'Berry']","['Energetic', 'Uplifting']"
BSB Cheddar 1,Exodus Cheese,Sativa-dominant (60%),Medium,Low,"['Cheese', 'Spicy']","['Strong', 'Couch-lock', 'Relaxed']"
Bubba Island Kush,OG Kush x Pre 98 Bubba Kush x Grand Daddy Purp,Indica-dominant,Medium,Unknown,"['Fruity', 'Kushy', 'Earthy', 'Sour']","['Sleepy', 'Happy', 'Strong', 'Relaxed']"
Bubba Kush,Bubble Gum x Kush,Indica-dominant (80%),18%,0.22%,"['Spicy', 'Diesel', 'Citrus', 'Earthy', 'Coffee']","['Long-lasting', 'Cerebral', 'Balanced', 'Euphoric', 'Body-buzz']"
Bubba Kush 2.0,Pre 98 Bubba Kush x Afghani,Indica (90-100%),Medium,Unknown,"['Flowery', 'Spicy', 'Pepper', 'Fruity']","['Relaxed', 'Strong', 'Couch-lock', 'Sleepy', 'Cerebral']"
Bubba Kush CBD,CBD strain x Pre 98 Bubba Kush,Indica-dominant (70%),8%,10%,"['Earthy', 'Fruity', 'Coffee', 'Spicy']","['Relaxed', 'Calming', 'Smooth', 'Dreamy']"
Bubba Love,Snowdawg x Pre 98 Bubba Kush,Indica (90-100%),Medium,High,"['Fresh', 'Lemon', 'Fruity', 'Coffee']","['Relaxed', 'Couch-lock', 'Body-buzz']"
Bubba OG,Pre 98 Bubba Kush x OG Kush,Indica (90-100%),19%,Unknown,"['Earthy', 'Kushy', 'Fruity']","['Body-buzz', 'Happy', 'Dreamy', 'Relaxed']"
Bubba's Gift,Bubba Kush x  Gods Gift,Indica-dominant (80%),17-20%,0.10%,"['Fuel', 'Spicy', 'Fruity']","['Meditative', 'Calming', 'Relaxed', 'Creative', 'Body-buzz']"
Bubble Bomb,Bubble Gum x THC Bomb,Indica/sativa (50/50),18-20%,Unknown,"['Sweet', 'Herbal', 'Earthy']","['Strong', 'Calming', 'Relaxed']"
Bubble Cheese,Bubba Kush x Bubble Gum Cheese,Indica-dominant,Medium,Unknown,"['Cheese', 'Mint', 'Flowery']","['Giggly', 'Body-buzz', 'Calming', 'Talkative', 'Relaxed']"
Bubble Kush,Bubble Gum x OG Kush,Indica-dominant (80%),19%,Low,"['Pine', 'Sweet', 'Earthy']","['Happy', 'Calming', 'Relaxed', 'Couch-lock', 'Body-buzz']"
Bubble Yum,Bubble Gum,Indica/sativa (50/50),15-16%,Unknown,"['Fruity', 'Sweet', 'Candy']","['Sociable', 'Relaxed', 'Happy', 'Cerebral', 'Euphoric']"
Bubblegum Kush,Kush x Bubblegum,Indica-dominant (80%),20-25%,Unknown,"['Fruity', 'Kushy', 'Sweet']","['Meditative', 'Body-buzz', 'Relaxed', 'Long-lasting']"
Bubblegum XL,Santa Maria x Power Plant,Sativa-dominant (60%),19%,Medium,"['Sweet', 'Earthy', 'Tropical', 'Candy']","['Relaxed', 'Cerebral', 'Energetic', 'Calming']"
BubbleGummer,Skunk Special x Bubble Gum,Sativa-dominant,Medium,Unknown,"['Sweet', 'Fruity', 'Spicy']","['Motivated', 'Euphoric', 'Uplifting', 'Energetic']"
Bubblelicious,Bubble Gum,Sativa-dominant (60%),Medium,High,"['Citrus', 'Sweet', 'Candy']","['Body-buzz', 'Relaxed', 'Euphoric', 'Balanced', 'Creative']"
Bubblicious,Lavender x Bubble Gum,Indica-dominant (70%),16-20%,Unknown,"['Sweet', 'Earthy', 'Candy', 'Citrus', 'Flowery']","['Relaxed', 'Giggly', 'Calming', 'Happy']"
Buddha Haze,Manga Rosa S1 x Amnesia x Super Silver Haze x G13,Sativa (90-100%),Medium,Unknown,"['Mango', 'Citrus', 'Skunk', 'Fruity']","['Energetic', 'Uplifting']"
Buddha Kush OG,Mystery Californian OG Kush x Pre 98 Bubba Kush,Indica (90-100%),High,Unknown,"['Pine', 'Pungent', 'Kushy', 'Spicy']","['Happy', 'Body-buzz', 'Relaxed', 'Calming']"
Buddha Tahoe,Tahoe OG Kush,Indica (90-100%),High,Unknown,"['Lemon', 'Hashish', 'Earthy', 'Kushy']","['Strong', 'Calming', 'Body-buzz', 'Relaxed']"
Bullshark,Skunk 5 x Great White Shark,Indica-dominant (70%),15%,0.20%,"['Sweet', 'Skunk', 'Pungent']","['Cerebral', 'Happy', 'Body-buzz', 'Relaxed']"
C99,Cinderella 99,Sativa-dominant,Medium,Unknown,"['Pineapple', 'Grape']","['Happy', 'Strong', 'Creative', 'Uplifting']"
Caboose,Salmon Creek Big Bud x Train Wreck,Indica-dominant (70%),Medium,Unknown,"['Sweet', 'Flowery', 'Chemical']","['Calming', 'Relaxed', 'Narcotic', 'Trippy']"
Cal-Train Wreck,Train Wreck,Indica-dominant (60%),20-22%,Unknown,"['Herbal', 'Earthy', 'Pine']","['Strong', 'Relaxed', 'Happy', 'Euphoric']"
Cali Cherry Pie,Durban x Granddaddy Purple,Indica-dominant,23%,Low,"['Sweet', 'Cherry']","['Long-lasting', 'Calming', 'Energetic']"
Cali Cookies,OG Kush x Durban Poison,Indica-dominant,28%,Low,"['Sweet', 'Chocolate', 'Mint']","['Relaxed', 'Cerebral', 'Euphoric']"
Cali Dream,Blueberry x Super Silver Haze,Sativa-dominant (70%),19%,Low,"['Fruity', 'Citrus', 'Earthy', 'Berry']","['Uplifting', 'Cerebral', 'Relaxed']"
Cali Orange Bud,California,Indica-dominant (70%),Medium,Unknown,"['Sweet', 'Fruity', 'Citrus']","['Sociable', 'Calming', 'Relaxed']"
California Hash Plant,California Hash Plant x Northern Lights,Indica (90-100%),8-12%,Medium,"['Spicy', 'Citrus', 'Sweet', 'Sour']","['Calming', 'Relaxed']"
California Indica,Hash Plant x Northern Lights 1 x Cali Orange Bud,Indica-dominant (65%),Medium,Unknown,"['Sweet', 'Citrus', 'Spicy']","['Relaxed', 'Sociable', 'Happy']"
California Orange Cheese,Big Buddha Cheese x Californian Orange,Indica-dominant (85%),Medium,Unknown,"['Melon', 'Citrus', 'Orange', 'Hashish', 'Cheese', 'Pungent']","['Sociable', 'Euphoric', 'Talkative', 'Psychedelic']"
Californian Orange,California,Indica/sativa (50/50),Medium,Unknown,"['Orange', 'Citrus', 'Fruity']","['Sociable', 'Uplifting', 'Euphoric']"
Canadian Kush,Special Kush x Purple Kush,Indica (100%),High,Low,"['Earthy', 'Grape', 'Kushy']","['Narcotic', 'Body-buzz', 'Relaxed', 'Euphoric']"
Candy Kush Express - Fast Flowering,Sweet Special x Royal Kush,Indica-dominant (60%),18%,Low,"['Citrus', 'Spicy', 'Sweet']","['Euphoric', 'Body-buzz', 'Relaxed', 'Calming']"
Candyman Haze,Bubble n Squeak 1 x Metal Haze,Sativa-dominant (60%),High,Unknown,"['Licorice', 'Pungent', 'Candy', 'Ammonia', 'Skunk']","['Happy', 'Cerebral', 'Euphoric', 'Strong']"
Cannalope Haze,Mexican x Haze Brothers,Sativa (90-100%),High,Unknown,"['Melon', 'Citrus', 'Sweet', 'Flowery']","['Relaxed', 'Energetic', 'Uplifting', 'Happy', 'Cerebral']"
Cannalope Kush,The OG 18 x Cannalope Haze,Sativa-dominant (70%),High,Unknown,"['Citrus', 'Fresh', 'Diesel', 'Fruity']","['Trippy', 'Cerebral', 'Energetic', 'Uplifting']"
Cannatonic,Juanita la Lagrimosa,Indica/sativa (50/50),High,High,"['Pine', 'Citrus']","['Calming', 'Relaxed']"
Cap Peeler,Rusty Haze x Thai Lights,Sativa (90-100%),High,Unknown,"['Earthy', 'Fresh', 'Pine']","['Cerebral', 'Euphoric', 'Relaxed']"
Caprichosa Thai,Mota Khan Afghana x Thai,Sativa-dominant (80%),12-16%,Medium,"['Spicy', 'Cinnamon', 'Caramel']","['Sociable', 'Euphoric', 'Creative']"
Caramel Ice,Caramella x Super Skunk,Indica-dominant,16%,Unknown,"['Citrus', 'Sweet', 'Caramel']","['Talkative', 'Cerebral', 'Relaxed', 'Sociable']"
Caramelo,Lavender,Indica-dominant (70%),24-25%,Unknown,"['Lavender', 'Caramel', 'Musky', 'Fruity', 'Sweet']","['Strong', 'Cerebral', 'Uplifting', 'Energetic']"
Caribe,Jamaica/NL5Haze,Sativa-dominant,20%,Unknown,"['Earthy', 'Sweet', 'Citrus']","['Strong', 'Cerebral', 'Relaxed']"
Carnival,sativa x Haze,Sativa-dominant,20-23%,Unknown,"['Sweet', 'Pine', 'Earthy']","['Talkative', 'Uplifting', 'Happy', 'Sociable', 'Cerebral', 'Energetic']"
Casey Jones,Thai x Train Wreck x Sour Diesel,Sativa-dominant (60%),18-20%,Unknown,"['Herbal', 'Sour', 'Earthy', 'Spicy']","['Relaxed', 'Focused', 'Uplifting', 'Motivated']"
Cash Express,Power Bud x Skunk,Indica/sativa (50/50),18%,Low,"['Pungent', 'Spicy', 'Skunk']","['Cerebral', 'Balanced', 'Uplifting', 'Long-lasting', 'Relaxed']"
Cataract Kush,LA Confidential x OG Kush,Indica (90-100%),Medium,Unknown,"['Sweet', 'Kushy', 'Fruity']","['Happy', 'Relaxed', 'Body-buzz', 'Couch-lock']"
CBD 3D,Haze x Afghani x Skunk,Sativa-dominant (80%),6-8%,6-8%,"['Pine', 'Skunk', 'Earthy', 'Pungent']","['Energetic', 'Motivated', 'Relaxed', 'Uplifting']"
CBD Blue Shark,Shark Shock x Blueberry x Skunk 1 x CBD Sativa strain,Indica-dominant (60%),6.50%,6.50%,"['Citrus', 'Pine', 'Flowery', 'Berry', 'Jasmine']","['Happy', 'Relaxed', 'Calming']"
CBD Caramel,CBD strainxBrazilian x Himalayan indica x Afghani,Indica-dominant (70%),Low,High,"['Sweet', 'Caramel', 'Tropical']","['Cerebral', 'Mellow', 'Smooth', 'Clear-headed']"
CBD ComPassion,CBD Sativa strain x Nepal,Sativa-dominant,8%,8%,"['Flowery', 'Woody', 'Pine']","['Body-buzz', 'Clear-headed', 'Calming', 'Smooth', 'Relaxed']"
CBD Critical Cure,Critical Kush x CBD strain,Indica-dominant (80%),5.50%,8%,"['Sweet', 'Earthy']","['Relaxed', 'Tingly', 'Calming']"
CBD Critical Mass,CBD strain x Critical Mass,Indica-dominant (80%),5-10%,5-10%,"['Sweet', 'Earthy', 'Pungent']","['Clear-headed', 'Relaxed', 'Calming']"
CBD Kush,Kandy Kush x CBD strain,Indica/sativa,8%,8%,"['Earthy', 'Fresh', 'Pine', 'Kushy']","['Body-buzz', 'Clear-headed', 'Relaxed', 'Smooth']"
CBD Mango Haze,Northern Lights 5 x CBD strainxSkunk x Haze,Sativa-dominant (80%),6-8%,8-10%,"['Pineapple', 'Mango', 'Spicy', 'Pepper']","['Calming', 'Relaxed']"
CBD MediHaze,CBD strainx Nevilles Haze xSuper Silver Haze,Sativa-dominant (80%),6-15%,6-15%,"['Mint', 'Sweet', 'Lemon']","['Calming', 'Relaxed']"
CBD Nordle,Nordle x Cannatonic,Indica-dominant (80%),5.5-10%,5.5-10%,"['Fruity', 'Garlic', 'Onion']","['Meditative', 'Balanced', 'Relaxed', 'Body-buzz']"
CBD Shark Shock,Shark Shock x CBD strain,Indica-dominant (80%),6-11%,6-11%,"['Garlic', 'Fresh', 'Onion', 'Fruity']","['Relaxed', 'Calming', 'Smooth', 'Happy', 'Body-buzz']"
CBD Skunk Haze,CBD strainxHaze x Skunk,Indica/sativa (50/50),5-12%,5-12%,"['Mint', 'Pine', 'Woody', 'Citrus', 'Spicy']","['Calming', 'Balanced', 'Relaxed', 'Happy']"
CBD Spliff Berry,CBD Kush x Blueberry,Indica-dominant (60%),7.60%,6.30%,"['Sweet', 'Earthy', 'Berry', 'Fruity']","['Body-buzz', 'Clear-headed', 'Relaxed', 'Smooth']"
CBD Sweet And Sour Widow,CBD strain x White Widow,Indica-dominant (70%),5-11%,5-11%,"['Sweet', 'Fruity', 'Sour']","['Relaxed', 'Uplifting', 'Calming']"
CBD Yummy,Yummy x Cannatonic,Sativa-dominant (70%),5-15%,5-15%,"['Sweet', 'Fruity', 'Tropical']","['Happy', 'Cerebral', 'Alert', 'Sociable', 'Relaxed']"
CBD-Chronic,Remedy x Chronic,Indica/sativa,5.40%,5.80%,"['Earthy', 'Fruity', 'Fresh']","['Calming', 'Clear-headed', 'Relaxed', 'Smooth', 'Energetic']"
CBD-Enriched Warlock,Warlock x Cannatonic,Indica-dominant,8%,4%,"['Berry', 'Pungent']","['Sleepy', 'Relaxed', 'Happy', 'Calming']"
Ceres Kush,North Indian x Landrace from Afghanistan,Indica (90-100%),Medium,Unknown,"['Herbal', 'Hashish', 'Spicy']","['Happy', 'Body-buzz', 'Calming', 'Strong', 'Relaxed']"
Ceres Skunk,Skunk,Indica/sativa (50/50),Medium,Unknown,"['Musky', 'Skunk', 'Sweet', 'Pungent']","['Body-buzz', 'Cerebral', 'Balanced', 'Relaxed']"
Channel +,Big Bud x Skunk,Indica/sativa,15-20%,Unknown,"['Pine', 'Pungent', 'Earthy']","['Sociable', 'Cerebral', 'Trippy', 'Relaxed']"
Chaos Kush,Abba Zabba x Trueberry,Indica-dominant,High,Low,"['Sweet', 'Lemon', 'Fruity']","['Narcotic', 'Relaxed', 'Body-buzz', 'Couch-lock']"
Chaze SuperAuto,Cheese x Stitch 0.1 x Original Haze,Sativa-dominant (80%) autoflowering,Medium,Unknown,"['Herbal', 'Cheese', 'Sweet']","['Happy', 'Uplifting', 'Energetic', 'Motivated']"
Cheddarhead,Snowdawg 2 x Exodus Cheese,Sativa-dominant (70%),Medium,Unknown,"['Cheese', 'Candy', 'Grape', 'Blueberry']","['Calming', 'Relaxed', 'Narcotic']"
Cheese CBD,CBD strain x Cheese,Indica/sativa (50/50),7-8%,7-8%,"['Spicy', 'Sweet', 'Cheese']","['Relaxed', 'Calming', 'Sociable', 'Happy', 'Alert']"
Cheese Dawg,Chem Dawg x Cheese,Indica-dominant (75%),Medium,Unknown,"['Sour', 'Pungent', 'Cheese', 'Skunk']","['Calming', 'Relaxed', 'Happy']"
Cheese N Chong,Casey Jones x Cheese,Sativa-dominant,Medium,Unknown,"['Sour', 'Pungent', 'Cheese', 'Skunk']","['Relaxed', 'Uplifting', 'Energetic', 'Euphoric']"
Cheese Quake,Querkle x Cheese,Indica-dominant (60%),Medium,Unknown,"['Musky', 'Grape', 'Cheese', 'Pungent']","['Euphoric', 'Body-buzz', 'Energetic', 'Cerebral']"
CheeseWreck,Exodus Cheese x Train Wreck,Indica-dominant,Medium,Unknown,"['Sweet', 'Pungent', 'Cheese']","['Long-lasting', 'Body-buzz', 'Relaxed']"
Cheesus,God Bud x Big Buddha Cheese,Indica-dominant (60%),Medium,Unknown,"['Cheese', 'Fruity', 'Herbal', 'Lavender']","['Calming', 'Happy', 'Relaxed', 'Euphoric']"
Cheesy Dick,Big Buddha Cheese x Moby Dick,Indica (90-100%),Medium,Unknown,"['Musky', 'Spicy', 'Cheese']","['Strong', 'Happy', 'Body-buzz', 'Relaxed']"
Cheesy Rider,Biker Kush x Exodus Cheese,Indica-dominant,Medium,Unknown,"['Cheese', 'Kushy', 'Pungent']","['Happy', 'Balanced', 'Euphoric', 'Body-buzz', 'Relaxed']"
Chem 4 OG,Chem 4 x SFV OG Kush,Sativa-dominant (60%),Medium,Unknown,"['Diesel', 'Flowery', 'Earthy', 'Pine']","['Euphoric', 'Body-buzz', 'Relaxed', 'Happy', 'Balanced']"
Chem Berry D,Strawberry Diesel x Chem 4,Sativa-dominant,25-32%,Unknown,"['Fruity', 'Citrus', 'Strawberry', 'Diesel']","['Long-lasting', 'Cerebral', 'Strong', 'Euphoric', 'Body-buzz']"
Chem Beyond Diesel CBD,Chem Dawg x Diesel,Indica-dominant (55%),5-12%,8-15%,"['Candy', 'Spicy', 'Lemon', 'Diesel', 'Woody']","['Munchies', 'Smooth', 'Relaxed', 'Sleepy']"
Chem Valley Kush,Chem Dawg x SFV OG Kush,Indica-dominant,Medium,Unknown,"['Sour', 'Spicy', 'Pine', 'Sweet']","['Relaxed', 'Body-buzz', 'Talkative', 'Creative']"
Chemdog Millionaire,Guava x Chemdog,Indica-dominant,22%,0.90%,"['Sour', 'Earthy', 'Fruity', 'Chemical', 'Pine']","['Relaxed', 'Body-buzz', 'Calming', 'Meditative']"
Chemmy Jones,Casey Jones x Chemdog,Indica/sativa (50/50),15-20%,Unknown,"['Citrus', 'Fruity']","['Body-buzz', 'Relaxed', 'Happy', 'Balanced', 'Euphoric']"
Chernobyl,Train Wreck x Trinity x Jack The Ripper,Sativa-dominant (60%),Medium,Unknown,"['Lime', 'Sweet', 'Fruity']","['Strong', 'Long-lasting']"
Cherry Cordial,Hells OG x Space Queen,Indica-dominant (65%),Medium,Unknown,"['Musky', 'Cherry', 'Lime', 'Earthy', 'Orange']","['Creative', 'Motivated', 'Focused']"
Cherry Malawi,Red Malawi x Cherry Bomb,Sativa (90-100%),High,Unknown,"['Pepper', 'Cherry', 'Lemon', 'Vanilla']","['Creative', 'Sociable', 'Long-lasting', 'Energetic', 'Munchies', 'Uplifting']"
Cherry Moon Pie,Bubba Kush x Cherry Pie,Indica (90-100%),Medium,Unknown,"['Cherry', 'Fruity', 'Cheese', 'Skunk']","['Sociable', 'Happy', 'Uplifting', 'Relaxed']"
Cherrygasm,Cherry Pie OG x Space Queen,Sativa-dominant (70%),Medium,Unknown,"['Musky', 'Lemon', 'Cherry', 'Diesel', 'Candy']","['Relaxed', 'Clear-headed', 'Cerebral']"
Chicle,Bubble Gum x Chem Dawg,Indica-dominant,Medium,Unknown,"['Sweet', 'Pungent', 'Candy', 'Chemical', 'Fruity']","['Relaxed', 'Happy', 'Body-buzz', 'Euphoric', 'Strong']"
Chiesel,Big Buddha Cheese x NYC Diesel,Sativa-dominant (60%),Medium,Unknown,"['Cheese', 'Grape', 'Spicy', 'Diesel', 'Skunk']","['Energetic', 'Uplifting', 'Euphoric']"
China Yunnan,Landrace from China,Indica-dominant (80%),12-18%,2-3%,"['Herbal', 'Woody', 'Sweet', 'Spicy']","['Euphoric', 'Tingly', 'Relaxed', 'Happy', 'Trippy']"
Choco Bud,Chocolope,Sativa (90-100%),19%,Medium,"['Chocolate', 'Sweet', 'Caramel']","['Long-lasting', 'Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
Choco Candy,OG Chocolate Thai x Choco Haze,Sativa-dominant,21%,Unknown,"['Chocolate', 'Sweet']","['Tingly', 'Euphoric', 'Uplifting', 'Strong', 'Cerebral']"
Choco Haze,OG Chocolate Thai x Cannalope Haze,Sativa (90-100%),20%,Low,"['Sweet', 'Chocolate', 'Tropical', 'Earthy']","['Euphoric', 'Creative', 'Energetic', 'Cerebral']"
Chocolate Chunk,Afghani,Indica (90-100%),Medium,Unknown,"['Fruity', 'Candy', 'Chocolate']","['Calming', 'Relaxed', 'Body-buzz']"
Chocolate Fondue,Chocolope x Cheese,Sativa-dominant (80%),Medium,Unknown,"['Sweet', 'Chocolate']","['Euphoric', 'Cerebral', 'Uplifting']"
Chocolate Mint OG,Grand Daddy Purp x Emerald OG Kush,Indica-dominant (80%),22-26%,Unknown,"['Mint', 'Chocolate', 'Pine', 'Fresh']","['Strong', 'Cerebral', 'Talkative', 'Relaxed', 'Body-buzz']"
Chocolato,Gelato x White Choco,Indica-dominant (60%),High,Low,"['Vanilla', 'Fruity', 'Sweet', 'Chocolate']","['Long-lasting', 'Body-buzz', 'Uplifting', 'Creative']"
Chocolope,Cannalope Haze x OG Chocolate Thai,Sativa (90-100%),High,Unknown,"['Sweet', 'Chocolate']","['Energetic', 'Munchies', 'Cerebral']"
Chocolope Kush,Kosher Kush x Chocolope,Sativa-dominant (60%),High,Unknown,"['Chocolate', 'Kushy', 'Sweet']","['Relaxed', 'Euphoric', 'Uplifting', 'Happy']"
Chronic Lights,Chronic x Northern Lights,Indica-dominant,19%,Unknown,"['Sweet', 'Spicy', 'Pungent']","['Happy', 'Calming', 'Narcotic', 'Relaxed']"
Chronic Ryder,Chronic x Lowryder,Indica-dominant autoflowering,11.90%,0.20%,"['Spicy', 'Sweet', 'Pepper']","['Calming', 'Relaxed', 'Sociable']"
Chronic Thunder,Alaskan Thunder Fuck x Chronic,Indica-dominant (80%),Medium,Unknown,"['Earthy', 'Chocolate', 'Fuel', 'Pepper', 'Cinnamon']","['Relaxed', 'Happy', 'Attentive', 'Mellow']"
Chunky Cheeze,Big Buddha Cheese,Indica-dominant,Medium,Unknown,"['Skunk', 'Cheese']","['Happy', 'Sleepy', 'Relaxed', 'Munchies']"
Cinderella 99,Shiva Skunk x Princess,Sativa-dominant,Medium,Unknown,"['Sweet', 'Cheese', 'Tropical', 'Fruity']","['Creative', 'Uplifting', 'Energetic', 'Euphoric', 'Clear-headed']"
Citral Skunk,Citral x Skunk,Indica/sativa,19-20%,0.20%,"['Sweet', 'Skunk', 'Pungent']","['Meditative', 'Body-buzz', 'Relaxed']"
Citrus Smoothie,Grapefruit x OG Kush,Indica-dominant,Medium,Unknown,"['Citrus', 'Lemon', 'Pineapple']","['Uplifting', 'Calming', 'Cerebral', 'Relaxed']"
Claustrum,Jack Herer x Kali Mist x Super Silver Haze,Sativa (90-100%),21%,0.10%,"['Musky', 'Sweet', 'Earthy']","['Euphoric', 'Clear-headed', 'Energetic', 'Cerebral']"
Cluster Bomb,Cinderella 99 x Bomb 1 x Super Skunk,Indica-dominant,15-20%,Unknown,"['Strawberry', 'Skunk', 'Orange']","['Uplifting', 'Relaxed', 'Smooth']"
Cocoa Kush,Blueberry x Blueberry Sativa,Indica/sativa (50/50),Medium,Unknown,"['Spicy', 'Fruity', 'Sweet', 'Licorice', 'Chocolate']","['Relaxed', 'Dreamy', 'Sociable', 'Happy', 'Calming']"
Cole Train,Jasmine x Train Wreck,Indica-dominant (70%),Medium,Unknown,"['Citrus', 'Herbal', 'Earthy']","['Happy', 'Calming', 'Relaxed']"
Colombian,Landrace from Colombia,Sativa (90-100%),High,Unknown,"['Skunk', 'Lime', 'Sweet', 'Lemon']","['Happy', 'Cerebral', 'Focused', 'Uplifting', 'Euphoric']"
Colombian Sweet,Colombian Fruit x Northern Lights,Indica-dominant (60%),Medium,Unknown,"['Sweet', 'Fruity', 'Citrus']","['Sociable', 'Happy', 'Uplifting', 'Relaxed']"
Coma Cluster,Boggle Dragon x Iron Cindy,Indica/sativa (50/50),High,Unknown,"['Candy', 'Fuel', 'Honey']","['Strong', 'Balanced', 'Euphoric', 'Body-buzz', 'Relaxed']"
Confidencial Medicine,Confidencial OG x Haze,Indica-dominant (80%),Medium,Unknown,"['Citrus', 'Pine', 'Earthy', 'Lime']","['Calming', 'Cerebral', 'Relaxed', 'Munchies', 'Body-buzz']"
Confidencial OG,Afghani x OG Kush,Indica (100%),Medium,Unknown,"['Earthy', 'Hashish', 'Spicy']","['Calming', 'Sedative', 'Relaxed', 'Body-buzz', 'Couch-lock']"
Congo,Congo 3 x Bangi Congo x Pakistan Chitral Kush,Sativa-dominant (70%),15%,0.15%,"['Flowery', 'Sweet', 'Strawberry']","['Relaxed', 'Happy', 'Uplifting', 'Energetic', 'Creative', 'Motivated']"
Congo Haze,Red Congolese x  Nevilles Haze,Sativa,High,Unknown,"['Sweet', 'Woody', 'Spicy']","['Strong', 'Creative', 'Cerebral', 'Energetic']"
