Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Cookies Kush,OG Kush x Girl Scout Cookies,Indica-dominant (70%),High,Unknown,"['Mint', 'Earthy', 'Sweet', 'Herbal']","['Relaxed', 'Euphoric', 'Sleepy', 'Happy', 'Body-buzz']"
Crazy Miss Hyde,Belladonna x Northern Lights,Indica-dominant (70%),21%,Unknown,"['Chemical', 'Berry', 'Citrus']","['Euphoric', 'Body-buzz', 'Relaxed', 'Cerebral', 'Balanced']"
Cream Caramel,Maple Leaf Indica x White Rhino x Blue Black,Indica (90-100%),15-20%,1-1.5%,"['Caramel', 'Sweet']","['Relaxed', 'Euphoric', 'Strong', 'Happy']"
Cream Caramel CBD,CBD Diesel x Cream Caramel,Indica-dominant (70%),7-15%,9-17%,"['Citrus', 'Candy', 'Earthy', 'Cypress']","['Calming', 'Relaxed', 'Body-buzz']"
Cream Mandarine - F1 Fast Version,Diesel,Indica-dominant (60%),18-22%,"0,9%","['Citrus', 'Orange', 'Diesel', 'Sweet']","['Relaxed', 'Body-buzz', 'Strong']"
Crimea Blue,Turkman x Blueberry,Indica-dominant (80%),18%,0.60%,"['Earthy', 'Lemon', 'Fruity']","['Long-lasting', 'Body-buzz', 'Meditative', 'Relaxed']"
Critical 47,Critical Mass x AK-47,Indica-dominant,15-18%,0.30%,"['Sweet', 'Peach', 'Fruity', 'Mango']","['Calming', 'Body-buzz', 'Relaxed', 'Happy']"
Critical 47 Express,Critical Express x AK-47,Indica-dominant autoflowering,Medium,Unknown,"['Mango', 'Vanilla', 'Peach']","['Body-buzz', 'Calming', 'Sociable', 'Relaxed', 'Happy']"
Critical Cheese,Cheese x Critical+,Indica-dominant,High,Low,"['Lemon', 'Pine', 'Cheese']","['Relaxed', 'Euphoric', 'Happy', 'Clear-headed']"
Critical Haze,Critical Mass x Afghan Haze,Sativa-dominant (60%),18-22%,Unknown,"['Herbal', 'Spicy', 'Sweet']","['Relaxed', 'Body-buzz', 'Sociable', 'Happy']"
Critical HOG,Tennessee HOG x Critical Mass,Indica-dominant,Medium,Unknown,"['Earthy', 'Sweet', 'Flowery']","['Happy', 'Relaxed', 'Strong']"
Critical Impact,Hindu Kush x Critical Mass x Skunk 1,Indica-dominant (80%),18%,Unknown,"['Skunk', 'Sweet', 'Fruity']","['Happy', 'Sociable', 'Relaxed', 'Munchies', 'Uplifting']"
Critical Jack,Critical+ x Jack Herer,Sativa-dominant (60%),High,Medium,"['Woody', 'Spicy', 'Citrus', 'Tropical', 'Pine']","['Talkative', 'Creative', 'Cerebral', 'Strong', 'Clear-headed']"
Critical Jack Herer,Critical Mass x Jack Herer,Sativa-dominant (80%),20%,Unknown,"['Sweet', 'Pepper', 'Lemon', 'Spicy', 'Mint']","['Uplifting', 'Energetic', 'Balanced', 'Euphoric', 'Cerebral']"
Critical Kali Mist,Critical Mass x Kali Mist,Sativa-dominant (80%),22%,Unknown,"['Musky', 'Pine', 'Woody', 'Herbal', 'Skunk']","['Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
